CH₂OHCH₂OH|ethylene glycol
CH₃CCH|propyne
CH₃CdCH₃|dimethylcadmium
CH₃CHCHCH₃|2-butene
CH₃CHCH₂|propene
CH₃CHO|acetaldehyde
CH₃CH₂Br|bromoethane
CH₃CH₂CH₂CH₂OH|butan-1-ol
CH₃CH₂CH₂OH|1-propanol
CH₃CH₂CONH₂|propanamide
CH₃CH₂COOH|propionic acid
CH₃CH₂OCH₂CH₃|diethyl ether
CH₃CH₂OH|ethanol
CH₃(CH₂)₁₆COOH|stearic acid
CH₃CN|acetonitrile
CH₃COCH₃|acetone
CH₃COOCH₃|methyl acetate
CH₃COCl|acetyl chloride
CH₃CONH₂|acetamide
CH₃COO−|acetate ion
CH₃COOCHCH₂|vinyl acetate
CH₃COOCH₂C₆H₅|benzyl acetate
CH₃COO(CH₂)₂CH(CH₃)₂|isoamyl acetate
CH₃COOH|acetic acid
CH₃COONa|sodium acetate
CH₃COOK|potassium acetate
CH₃COORb|rubidium acetate
CH₃COOCs|caesium acetate
(CH₃CO)₂O|acetic anhydride
CH₃Cl|chloromethane
CH₃HgCH₃|dimethylmercury
CH₃I|iodomethane
CH₃OCH₃|dimethyl ether
CH₃NH₂|methylamine
CH₃NO|oxaziridine
CH₃OCs|caesium methoxide
CH₃OH|methanol
CH₃OK|potassium methoxide
CH₃OLi|lithium methoxide
CH₃ONa|sodium methoxide
CH₃ORb|rubidium methoxide
CH₃SCH₃|dimethyl sulfide
CH₃SH|methanethiol
(CH₃)₂CHOH|isopropyl alcohol
(CH₃)₂CO|acetone
(CH₃)₂C₂O₄|dimethyl oxalate
(CH₃)₂NNH₂|dimethyl hydrazine
(CH₃)₂NH|dimethylamine
(CH₃)₂S+CH₂CH₂COO−|dimethylsulfoniopropionate
(CH₃)₃CCl|t-butyl chloride
(CH)₃COH|t-butyl alcohol
(CH₃)₃COOC(CH₃)₃|di-t-butyl peroxide
(CH₃)₃N|trimethylamine
CH₄|methane
